Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Strength Training,2026-04-06 19:22:24,false,"Strength","0.00","182","00:34:29","88","145","0.7","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","308","154","6","-3","No","00:34:29","1","--","--","--","00:26:21","00:34:29","--","--"
Running,2026-04-05 15:48:21,false,"New York Running","4.63","598","00:46:08","133","141","3.3","166","172","9:58","8:39","141","243","0.98","8.9","8.6","277","10:00","331","0.0","329","419","--","--","--","7,644","--","--","--","No","00:46:08","1","--","--","--","00:46:07","00:46:08","-28","144"
Running,2026-04-04 10:49:54,false,"New York Running","7.53","995","01:18:16","138","147","3.8","164","171","10:24","8:08","282","397","0.94","9.1","8.6","281","10:21","321","0.0","313","553","--","--","--","12,866","--","--","-23","No","01:18:16","1","--","--","--","01:18:13","01:18:29","-31","141"
Strength Training,2026-04-01 06:59:24,false,"Strength","0.00","269","00:37:42","104","152","1.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","266","133","6","-5","No","00:37:42","1","--","--","--","00:26:51","00:37:42","--","--"
Running,2026-03-31 07:21:34,false,"San Jose Running","4.76","625","00:50:02","132","140","3.2","162","171","10:30","7:20","151","266","0.95","9.1","8.6","284","10:28","318","0.0","310","577","--","--","--","8,122","--","--","-12","No","00:50:02","1","--","--","--","00:49:59","00:50:12","32","243"
Running,2026-03-29 17:47:54,false,"New York Running","7.48","953","01:15:19","133","141","3.6","164","171","10:04","8:30","443","545","0.98","8.9","8.7","281","9:55","351","0.0","336","622","--","--","--","12,330","--","--","--","No","01:15:19","1","--","--","--","01:15:18","01:15:22","-43","174"
Running,2026-03-28 11:54:07,false,"New York Running","8.41","1,062","01:25:25","134","145","3.9","165","205","10:09","6:34","571","673","0.97","8.9","8.6","278","9:50","340","0.0","331","626","--","--","--","14,110","--","--","-21","No","01:25:25","1","--","--","--","01:25:23","01:25:54","-73","188"
Running,2026-03-27 18:46:05,false,"New York - Fartlek 100","3.65","480","00:35:37","144","166","3.4","164","192","9:45","5:29","535","400","1.00","8.8","8.7","278","9:18","401","0.0","365","813","--","--","--","5,780","--","--","-8","No","00:00:26.3","23","--","--","--","00:35:30","00:35:37","-102","79"
Strength Training,2026-03-25 12:09:13,false,"Strength","0.00","474","00:53:24","124","163","3.1","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","316","158","5","-9","No","00:53:24","1","--","--","--","00:26:53","00:53:24","--","--"
Strength Training,2026-03-24 19:02:28,false,"Strength","0.00","165","00:30:50","89","131","0.8","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","186","93","5","-3","No","00:30:50","1","--","--","--","00:24:22","00:30:50","--","--"
Running,2026-03-22 14:59:51,false,"New York Running","7.50","993","01:16:58","138","146","3.9","164","169","10:16","7:26","1,161","1,204","0.96","9.0","8.7","281","9:52","361","0.0","339","660","--","--","--","12,602","--","--","-18","No","01:16:58","1","--","--","--","01:16:58","01:16:58","-67","106"
Running,2026-03-21 11:47:38,false,"New York Running","8.35","1,102","01:26:07","141","154","4.2","165","172","10:19","5:39","735","705","0.96","9.0","8.6","279","9:51","346","0.0","331","709","--","--","--","14,196","--","--","-23","No","01:26:07","1","--","--","--","01:26:05","01:26:34","-62","139"
Running,2026-03-20 12:33:17,false,"New York - Fartlek 100","3.66","483","00:35:29","146","170","3.6","165","192","9:42","5:43","495","489","0.99","8.9","8.6","277","9:22","415","0.0","363","876","--","--","--","5,812","--","--","-12","No","00:00:25.3","23","--","--","--","00:35:21","00:35:29","-43","92"
