Date,Avg Score,Avg Quality,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time
Apr 2-8,71,Fair,6h 54min,7h 50min,12:46 AM,7:48 AM
Mar 26 - Apr 1,75,Fair,7h 17min,7h 50min,11:33 PM,6:58 AM
Mar 19-25,78,Fair,7h 3min,7h 51min,12:23 AM,7:36 AM
Mar 12-18,82,Good,6h 58min,7h 56min,12:26 AM,7:32 AM
Mar 5-11,68,Fair,6h 1min,8h 37min,12:50 AM,6:55 AM
Feb 26 - Mar 4,66,Fair,6h 21min,8h 11min,12:56 AM,7:32 AM
Feb 19-25,76,Fair,7h 23min,7h 40min,12:00 AM,7:36 AM
Feb 12-18,67,Fair,7h 31min,8h 10min,11:56 PM,7:39 AM
Feb 5-11,56,Poor,5h 51min,8h 37min,1:44 AM,7:52 AM
Jan 29 - Feb 4,75,Fair,7h 16min,7h 40min,11:56 PM,7:23 AM
Jan 22-28,76,Fair,6h 37min,8h 3min,12:30 AM,7:27 AM
Jan 15-21,72,Fair,7h 13min,8h 1min,12:16 AM,7:38 AM
Jan 8-14,65,Fair,6h 59min,8h 19min,11:55 PM,7:10 AM
Jan 1-7,65,Fair,7h 0min,7h 46min,12:16 AM,7:26 AM
Dec 25-31, 2025,79,Fair,8h 36min,7h 26min,11:44 PM,8:43 AM
Dec 18-24, 2025,73,Fair,7h 51min,7h 47min,11:38 PM,7:53 AM
Dec 11-17, 2025,68,Fair,5h 58min,8h 37min,12:55 AM,6:57 AM
Dec 4-10, 2025,66,Fair,5h 48min,8h 39min,12:38 AM,6:41 AM
Nov 27 - Dec 3, 2025,74,Fair,6h 46min,7h 54min,1:24 AM,8:18 AM
Nov 20-26, 2025,73,Fair,6h 34min,8h 9min,12:26 AM,7:13 AM
Nov 13-19, 2025,72,Fair,6h 45min,8h 19min,11:55 PM,6:50 AM
Nov 6-12, 2025,67,Fair,6h 53min,8h 20min,12:06 AM,7:45 AM
Oct 30 - Nov 5, 2025,67,Fair,6h 20min,8h 29min,12:09 AM,6:37 AM
Oct 23-29, 2025,64,Fair,6h 28min,8h 11min,12:47 AM,7:23 AM
Oct 16-22, 2025,67,Fair,6h 45min,8h 6min,12:20 AM,7:25 AM
Oct 9-15, 2025,67,Fair,6h 55min,8h 23min,11:47 PM,7:10 AM
Oct 2-8, 2025,75,Fair,6h 34min,8h 13min,12:45 AM,7:30 AM
Sep 25 - Oct 1, 2025,69,Fair,6h 12min,8h 31min,1:18 AM,7:38 AM
Sep 18-24, 2025,71,Fair,6h 13min,8h 19min,1:12 AM,7:33 AM
Sep 11-17, 2025,79,Fair,7h 14min,8h 3min,11:48 PM,7:09 AM
Sep 4-10, 2025,71,Fair,7h 11min,7h 59min,11:07 PM,6:39 AM
Aug 28 - Sep 3, 2025,64,Fair,6h 38min,8h 10min,11:21 PM,6:37 AM
Aug 21-27, 2025,77,Fair,8h 35min,7h 36min,10:52 PM,7:50 AM
Aug 14-20, 2025,59,Poor,6h 30min,8h 30min,11:43 PM,6:47 AM
Aug 7-13, 2025,77,Fair,8h 12min,7h 51min,11:39 PM,8:11 AM
Jul 31 - Aug 6, 2025,74,Fair,8h 7min,7h 41min,11:34 PM,8:15 AM
Jul 24-30, 2025,76,Fair,6h 47min,8h 3min,1:04 AM,7:59 AM
Jul 17-23, 2025,72,Fair,6h 40min,7h 56min,1:02 AM,7:50 AM
Jul 10-16, 2025,70,Fair,7h 16min,8h 1min,12:13 AM,7:56 AM
Jul 3-9, 2025,70,Fair,7h 7min,8h 3min,12:42 AM,8:03 AM
Jun 26 - Jul 2, 2025,76,Fair,7h 2min,7h 57min,12:44 AM,7:58 AM
Jun 19-25, 2025,72,Fair,6h 43min,8h 0min,12:59 AM,7:57 AM
Jun 12-18, 2025,71,Fair,6h 17min,8h 31min,12:36 AM,7:01 AM
Jun 5-11, 2025,68,Fair,6h 24min,8h 21min,1:01 AM,7:36 AM
May 29 - Jun 4, 2025,69,Fair,6h 40min,8h 17min,12:12 AM,7:04 AM
May 22-28, 2025,74,Fair,6h 42min,8h 7min,12:38 AM,7:28 AM
May 15-21, 2025,71,Fair,6h 13min,8h 29min,12:19 AM,6:39 AM
May 8-14, 2025,71,Fair,6h 39min,8h 10min,12:50 AM,7:39 AM
May 1-7, 2025,65,Fair,6h 30min,8h 17min,12:34 AM,7:28 AM
Apr 24-30, 2025,69,Fair,6h 24min,8h 17min,1:04 AM,7:44 AM
Apr 17-23, 2025,63,Fair,8h 45min,7h 53min,11:04 PM,8:18 AM
Apr 10-16, 2025,71,Fair,6h 40min,8h 4min,12:16 AM,7:14 AM
